"Wavelength (nm)"	"Reflectance (%)"
686.44	7.9475
687.14	7.9178
687.84	7.8938
688.55	7.8768
689.25	7.8671
689.95	7.8619
690.65	7.8632
691.36	7.8751
692.06	7.8986
692.76	7.9309
693.46	7.9742
694.17	8.0296
694.87	8.0959
695.57	8.1716
696.27	8.2574
696.98	8.3524
697.68	8.4549
698.38	8.5641
699.08	8.6789
699.78	8.7976
700.49	8.9212
701.19	9.0518
701.89	9.1909
702.59	9.3367
703.29	9.4903
703.99	9.6531
704.69	9.8251
705.4	10.0048
706.1	10.1914
706.8	10.3866
707.5	10.5868
708.2	10.7876
708.9	10.9903
709.6	11.1954
710.3	11.4004
711	11.6051
711.7	11.8117
712.4	12.0214
713.1	12.2336
713.8	12.4517
714.51	12.6802
715.21	12.9205
715.91	13.1708
716.61	13.43
717.31	13.6908
718.01	13.9464
718.71	14.1961
719.41	14.439
720.1	14.6772
720.8	14.9123
721.5	15.1508
722.2	15.3969
722.9	15.6479
723.6	15.906
724.3	16.1673
725	16.4296
725.7	16.6938
726.4	16.9609
727.1	17.2282
727.8	17.4905
728.5	17.7518
729.19	18.0179
729.89	18.2889
730.59	18.5625
731.29	18.8352
731.99	19.1111
732.69	19.3845
733.39	19.6534
734.08	19.9144
734.78	20.1665
735.48	20.4092
736.18	20.6482
736.88	20.8921
737.57	21.1429
738.27	21.3943
738.97	21.6447
739.67	21.8944
740.36	22.1486
741.06	22.4022
741.76	22.6508
742.46	22.9016
743.15	23.1556
743.85	23.407
744.55	23.6532
745.24	23.8913
745.94	24.1178
746.64	24.3312
747.34	24.5323
748.03	24.7319
748.73	24.9388
749.42	25.1542
750.12	25.3736
750.82	25.6001
751.51	25.8314
752.21	26.057
752.91	26.2733
753.6	26.4751
754.3	26.6623
754.99	26.848
755.69	27.0392
756.39	27.233
757.08	27.4308
757.78	27.6266
758.47	27.825
759.17	28.0161
759.86	28.2003
760.56	28.3701
761.26	28.5292
761.95	28.6871
762.65	28.8457
763.34	29.0047
764.04	29.1649
764.73	29.3206
765.43	29.4717
766.12	29.6215
766.81	29.7607
767.51	29.8936
768.2	30.0191
768.9	30.1394
769.59	30.2563
770.29	30.3692
770.98	30.4845
771.68	30.6066
772.37	30.7301
773.06	30.8559
773.76	30.9855
774.45	31.1159
775.15	31.2527
775.84	31.3838
776.53	31.503
777.23	31.6139
777.92	31.7171
778.61	31.8146
779.31	31.9133
780	32.0131
780.69	32.1147
781.39	32.2203
782.08	32.3224
782.77	32.4148
783.46	32.4944
784.16	32.5585
784.85	32.6083
785.54	32.6487
786.24	32.6784
786.93	32.7066
787.62	32.7368
788.31	32.7758
789.01	32.8211
789.7	32.8718
790.39	32.9208
791.08	32.9685
791.77	33.0161
792.47	33.0593
793.16	33.094
793.85	33.1192
794.54	33.1345
795.23	33.142
795.92	33.1448
796.61	33.1428
797.31	33.141
798	33.1407
798.69	33.1463
799.38	33.1612
800.07	33.1777
800.76	33.1896
801.45	33.1987
802.14	33.2008
802.83	33.1939
803.53	33.1776
804.22	33.1526
804.91	33.1201
805.6	33.0815
806.29	33.0443
806.98	33.0135
807.67	32.9932
808.36	32.9879
809.05	32.997
809.74	33.0055
810.43	33.0086
811.12	33.0064
811.81	32.994
812.5	32.9692
813.19	32.9309
813.88	32.8745
814.57	32.8029
815.26	32.7307
815.94	32.6683
816.63	32.6157
817.32	32.5684
818.01	32.5193
818.7	32.4602
819.39	32.3888
820.08	32.3106
820.77	32.2279
821.46	32.1373
822.14	32.0401
822.83	31.9372
823.52	31.8306
824.21	31.7276
824.9	31.6318
825.59	31.5367
826.27	31.44
826.96	31.3432
827.65	31.2484
828.34	31.1602
829.03	31.0803
829.71	31.0007
830.4	30.9193
831.09	30.8377
831.78	30.7568
832.46	30.6715
833.15	30.5784
833.84	30.475
834.53	30.3623
835.21	30.2495
835.9	30.1419
836.59	30.0331
837.27	29.9244
837.96	29.8145
838.65	29.7041
839.34	29.5936
840.02	29.4842
840.71	29.3663
841.39	29.2379
842.08	29.1017
842.77	28.9671
843.45	28.8351
844.14	28.7048
844.83	28.5754
845.51	28.4459
846.2	28.3146
846.88	28.1892
847.57	28.0647
848.25	27.9405
848.94	27.8131
849.63	27.6776
850.31	27.5345
851	27.3838
851.68	27.2254
852.37	27.0597
853.05	26.8852
853.74	26.7063
854.42	26.5274
855.11	26.351
855.79	26.1849
856.48	26.0274
857.16	25.8746
857.85	25.7243
858.53	25.5755
859.22	25.4323
859.9	25.2906
860.58	25.1518
861.27	25.0126
861.95	24.8665
862.64	24.7156
863.32	24.5652
864	24.4185
864.69	24.2743
865.37	24.1288
866.05	23.9812
866.74	23.8283
867.42	23.6661
868.11	23.4955
868.79	23.3216
869.47	23.1427
870.16	22.9629
870.84	22.7821
871.52	22.5978
872.2	22.4136
872.89	22.2296
873.57	22.0453
874.25	21.8626
874.94	21.6774
875.62	21.4957
876.3	21.3119
876.98	21.1293
877.66	20.954
878.35	20.7829
879.03	20.6132
879.71	20.4479
880.39	20.2877
881.08	20.1314
881.76	19.9734
882.44	19.8122
883.12	19.6449
883.8	19.4688
884.48	19.2846
885.16	19.097
885.85	18.9087
886.53	18.7186
887.21	18.5316
887.89	18.3492
888.57	18.17
889.25	17.9974
889.93	17.8306
890.61	17.6665
891.29	17.5021
891.97	17.3339
892.66	17.1619
893.34	16.9847
894.02	16.8013
894.7	16.6172
895.38	16.433
896.06	16.2481
896.74	16.0654
897.42	15.8846
898.1	15.7058
898.78	15.5337
899.46	15.3712
900.14	15.2173
900.82	15.0665
901.49	14.9154
902.17	14.7652
902.85	14.6143
903.53	14.4608
904.21	14.3078
904.89	14.1576
905.57	14.0077
906.25	13.8543
906.93	13.6977
907.61	13.5404
908.29	13.3834
908.96	13.2252
909.64	13.0671
910.32	12.9111
911	12.7559
911.68	12.6003
912.36	12.4442
913.03	12.2879
913.71	12.1307
914.39	11.9735
915.07	11.8185
915.75	11.6671
916.42	11.5214
917.1	11.3799
917.78	11.2422
918.46	11.1097
919.13	10.9795
919.81	10.8494
920.49	10.7213
921.17	10.5967
921.84	10.4737
922.52	10.3506
923.2	10.2281
923.87	10.1058
924.55	9.9843
925.23	9.8649
925.9	9.747
926.58	9.6334
927.26	9.5242
927.93	9.4189
928.61	9.3145
929.28	9.2138
929.96	9.1168
930.64	9.0199
931.31	8.9232
931.99	8.8299
932.66	8.7375
933.34	8.6469
934.02	8.5586
934.69	8.4736
935.37	8.3906
936.04	8.3101
936.72	8.2314
937.39	8.1538
938.07	8.0808
938.74	8.0103
939.42	7.9411
940.09	7.873
940.77	7.8074
941.44	7.7411
942.12	7.6759
942.79	7.6172
943.47	7.5612
944.14	7.5066
944.81	7.4548
945.49	7.4045
946.16	7.3571
946.84	7.3104
947.51	7.268
948.18	7.2254
948.86	7.1858
949.53	7.1461
950.2	7.1053
950.88	7.0666
951.55	7.0287
952.23	6.991
952.9	6.9554
953.57	6.9211
954.24	6.8897
954.92	6.8585
955.59	6.83
956.26	6.8045
956.94	6.782
957.61	6.7614
958.28	6.7429
958.95	6.7266
959.63	6.7145
960.3	6.7054
960.97	6.6999
961.64	6.6977
962.32	6.6991
962.99	6.7045
963.66	6.7125
964.33	6.7248
965	6.7393
965.67	6.7547
966.35	6.7722
967.02	6.7921
967.69	6.8128
968.36	6.8336
969.03	6.8558
969.7	6.8806
970.37	6.9082
971.04	6.9358
971.72	6.9647
972.39	6.996
973.06	7.029
973.73	7.0651
974.4	7.1034
975.07	7.144
975.74	7.1887
976.41	7.2364
977.08	7.285
977.75	7.3335
978.42	7.3834
979.09	7.4353
979.76	7.488
980.43	7.542
981.1	7.5972
981.77	7.6545
982.44	7.7138
983.11	7.7737
983.78	7.8335
984.45	7.8945
985.12	7.9583
985.78	8.0236
986.45	8.0896
987.12	8.1569
987.79	8.2234
988.46	8.2905
989.13	8.3618
989.8	8.4333
990.47	8.5041
991.13	8.5759
991.8	8.6483
992.47	8.7203
993.14	8.7941
993.81	8.8699
994.47	8.9488
995.14	9.0305
